"(PDH-CSV 4.0) (Pacific Daylight Time)(420)","\\WIN-N2S56U6S0IO\Processor(_total)\% Idle Time","\\WIN-N2S56U6S0IO\memory\available bytes","\\WIN-N2S56U6S0IO\memory\committed bytes","\\WIN-N2S56U6S0IO\memory\% committed bytes in use","\\WIN-N2S56U6S0IO\memory\page faults/sec","\\WIN-N2S56U6S0IO\memory\free & zero page list bytes"
"05/22/2020 07:34:53.824"," ","7606185984","903335936","8.5198432925436282659"," ","7275134976"
"05/22/2020 07:34:54.840","99.954511479772762073","7606173696","903335936","8.5198432925436282659","18.707283395257721992","7275134976"
"05/22/2020 07:34:55.856","99.93638778917247123","7605977088","903278592","8.5193024502413585708","0.98463564690217375563","7274938368"
"05/22/2020 07:34:56.856","99.933834172720210631","7605977088","903192576","8.5184911751464227336","0","7274938368"
"05/22/2020 07:34:57.869","99.959199315685481224","7605911552","903192576","8.5184911751464227336","0","7274872832"
"05/22/2020 07:34:58.881","99.952805172221104613","7605911552","903135232","8.5179503328441530385","0","7274872832"
"05/22/2020 07:34:59.888","99.948246786652816809","7605911552","903135232","8.5179503328441530385","0.99330857677257167193","7274872832"
"05/22/2020 07:35:00.900","99.891804750906842969","7605714944","903077888","8.5174094905418833434","144.29883220734123483","7274606592"
"05/22/2020 07:35:01.907","99.928013524876163842","7605473280","902848512","8.5152461213328045631","0","7274364928"
"05/22/2020 07:35:02.917","95.147841455947485656","7566065664","1002078208","9.4511343421067888215","26409.343940101465705","7235760128"
"05/22/2020 07:35:03.926","96.051592271174044413","7539032064","1026375680","9.6802967623063125302","12335.420705874839769","7208587264"
"05/22/2020 07:35:05.505","85.74831823041333223","7517130752","1042116608","9.8287578695055000111","5438.6783487143811726","7172689920"
"05/22/2020 07:35:06.697","0","7516979200","1040609280","9.8145414399482646672","63.094131143759476288","7172493312"
"05/22/2020 07:35:07.883","0","7516987392","1040248832","9.8111418797194822616","4.2076342980092338308","7172493312"
"05/22/2020 07:35:09.072","0","7516876800","1039790080","9.8068151413013264772","86.492521671834936114","7172362240"
"05/22/2020 07:35:10.248","0","7516811264","1039151104","9.80078862276877949","91.117290434064031501","7172296704"
"05/22/2020 07:35:11.428","0","7516807168","1038966784","9.7990501927675328631","4.2485680838558579353","7172296704"
"05/22/2020 07:35:12.585","0","7516807168","1038245888","9.7922510490269054628","18.93956024751594569","7172296704"
"05/22/2020 07:35:13.780","0","7516745728","1037148160","9.7818977687931383258","83.236553323984495023","7172296704"
"05/22/2020 07:35:14.962","0","7516782592","1037017088","9.7806615777734347006","8.4316264236379634411","7172296704"
"05/22/2020 07:35:16.132","0","7516782592","1036959744","9.7801207354711650055","4.2756472132699672173","7172296704"
"05/22/2020 07:35:17.295","0","7516778496","1036812288","9.7787299914701684145","9.4811239441475620993","7172296704"
"05/22/2020 07:35:18.591","0","7517069312","1033723904","9.7496017836382620203","33.994511122617737442","7172296704"
"05/22/2020 07:35:19.743","0","7517069312","1033453568","9.7470521018251439216","10.38338665058164878","7172296704"
"05/22/2020 07:35:21.452","0","7517061120","1032720384","9.7401370549900772033","28.152069974785131734","7172296704"
"05/22/2020 07:35:22.609","0","7517048832","1032204288","9.7352694742696517238","3.4518553765797310717","7172300800"
"05/22/2020 07:35:23.800","0","7517048832","1031536640","9.7289725462275029599","13.430671002199188635","7172300800"
"05/22/2020 07:35:24.967","0","7517052928","1030987776","9.7237959061106185032","15.404853675713622962","7172304896"
"05/22/2020 07:35:26.119","0","7517032448","1030856704","9.7225596918078505126","9.5141890723657009943","7172308992"
"05/22/2020 07:35:27.293","0","7516205056","1033457664","9.7470907517119975694","540.96846324511795956","7171543040"
"05/22/2020 07:35:28.462","0","7515312128","1036918784","9.7797344228671239108","1049.2887321380007961","7170940928"
"05/22/2020 07:35:29.605","0","7519830016","1022640128","9.6450647827342770313","1154.7597907756671702","7172530176"
"05/22/2020 07:35:30.730","0","7521349632","1022464000","9.6434036292236768872","56.101391421367047485","7172579328"
"05/22/2020 07:35:32.372","0","7521349632","1022435328","9.6431332197140751106","3.056671920066806436","7172583424"
"05/22/2020 07:35:33.915","0","7522127872","1019019264","9.6109144877667809226","44.612564126519941965","7172870144"
"05/22/2020 07:35:35.090","0","7522549760","1018327040","9.604385753535755299","34.918303518921845807","7173427200"
"05/22/2020 07:35:36.261","0","7523229696","1016688640","9.58893313295881633","53.963554557068007966","7173971968"
"05/22/2020 07:35:37.447","0","7523487744","1016242176","9.5847222976350980872","15.888580576093172425","7174258688"
"05/22/2020 07:35:38.626","0","7529635840","1009192960","9.5182373676258684725","6.8394447191621408066","7180378112"
"05/22/2020 07:35:39.806","0","7529623552","1009106944","9.5174261158139970007","79.442892350063587514","7180419072"
"05/22/2020 07:35:40.952","0","7529631744","1009106944","9.5174261158139970007","5.2309052343053226153","7180427264"
"05/22/2020 07:35:42.135","0","7529635840","1011945472","9.54419777485174059","55.153126291325605735","7180431360"
"05/22/2020 07:35:43.218","0","7532986368","1008459776","9.5113223207908035306","7.3700725307262926478","7183781888"
"05/22/2020 07:35:44.374","0","7533137920","1008406528","9.5108201050923248943","17.277304187672989144","7183933440"
"05/22/2020 07:35:45.562","0","7533203456","1008349184","9.5102792627900551992","109.62152325852507317","7183998976"
"05/22/2020 07:35:46.686","0","7533232128","1008320512","9.5100088532804534225","176.66408421844568011","7184027648"
"05/22/2020 07:35:47.875","0","7533232128","1008320512","9.5100088532804534225","0","7184048128"
"05/22/2020 07:35:49.059","0","7533338624","1008263168","9.5094680109781837274","5.9585817281623514319","7184048128"
