5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.363636 stddev:1.039177 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.929293 stddev:0.7817689999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.232323 stddev:1.052446 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.10101 stddev:0.8586450000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.111111 stddev:0.983592 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.9898990000000003 stddev:0.9691709999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.383838 stddev:0.9817229999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.9898990000000003 stddev:0.8102239999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.878788 stddev:0.8320930000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.080808 stddev:0.8724370000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.080808 stddev:0.8724370000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.10101 stddev:0.8586450000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.181818 stddev:0.8803540000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.969697 stddev:0.758182 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.212121 stddev:0.8560270000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.949495 stddev:0.7703300000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.090909 stddev:0.8999540000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.787879 stddev:0.8320930000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.040404 stddev:0.8636219999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.9898990000000003 stddev:0.784895 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.4848480000000004 stddev:0.978183 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.10101 stddev:0.9691709999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.4949489999999996 stddev:0.9142389999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.909091 stddev:0.779678 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.181818 stddev:0.8803540000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.888889 stddev:0.802633 med:3.0
4:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.949495 stddev:0.9142389999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:4 avg:2.929293 stddev:0.699964 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.020202 stddev:0.7911100000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.222222 stddev:0.871033 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.1515150000000003 stddev:0.8803540000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.939394 stddev:0.862439 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.767677 stddev:0.722346 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.10101 stddev:0.8468 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.787879 stddev:0.8198639999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.89899 stddev:0.8225969999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.4141410000000003 stddev:0.95357 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.020202 stddev:0.8406319999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.30303 stddev:0.892783 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.353535 stddev:0.967274 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.59596 stddev:1.0339610000000001 med:4.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.20202 stddev:0.942593 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.575758 stddev:1.083307 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.878788 stddev:0.728534 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.1717169999999997 stddev:0.84136 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.535354 stddev:1.04749 med:4.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.222222 stddev:0.969802 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.4747470000000003 stddev:0.913904 med:4.0
7:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.535354 stddev:0.967274 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.636364 stddev:1.029411 med:4.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.5252529999999997 stddev:0.891525 med:4.0
7:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.575758 stddev:0.933018 med:4.0
6:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.606061 stddev:1.052349 med:4.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.929293 stddev:0.923897 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.111111 stddev:0.863267 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.080808 stddev:0.8839389999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.121212 stddev:0.9349850000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.424242 stddev:0.995859 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.717172 stddev:0.7112430000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.161616 stddev:0.812865 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.040404 stddev:0.7095199999999999 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.89899 stddev:0.7452880000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.4545449999999995 stddev:1.0567030000000002 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.878788 stddev:0.8677469999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.252525 stddev:0.891525 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.20202 stddev:0.920911 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.343434 stddev:0.8060579999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.4949489999999996 stddev:0.9782870000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.1717169999999997 stddev:0.921575 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.292929 stddev:0.934766 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.5151519999999996 stddev:1.008686 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.4141410000000003 stddev:1.034848 med:4.0
6:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.20202 stddev:0.994732 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.5151519999999996 stddev:0.967801 med:4.0
5:0:1 |busy_cores_prev_interval min:2 max:8 avg:3.5151519999999996 stddev:1.113404 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.949495 stddev:0.845353 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.040404 stddev:0.8277899999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.282828 stddev:0.8766370000000001 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.161616 stddev:0.884286 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.323232 stddev:0.9726389999999999 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.181818 stddev:0.914127 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.616162 stddev:1.116516 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.5454550000000005 stddev:1.121622 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.5050510000000004 stddev:0.988558 med:4.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.5454550000000005 stddev:1.165781 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.30303 stddev:0.9261030000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.060606 stddev:0.930061 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.89899 stddev:0.8468 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.4747470000000003 stddev:0.924891 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.111111 stddev:0.9308290000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.111111 stddev:0.88636 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.9898990000000003 stddev:0.7452880000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.1717169999999997 stddev:0.804538 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.131313 stddev:0.8835930000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.181818 stddev:0.914127 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.252525 stddev:0.9882479999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.333333 stddev:1.044466 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.343434 stddev:0.8894629999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.535354 stddev:0.902445 med:4.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.040404 stddev:0.931158 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.10101 stddev:0.8703299999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.0101009999999997 stddev:0.9155770000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.10101 stddev:0.9795379999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.070707 stddev:0.901766 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.5050510000000004 stddev:1.067175 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.89899 stddev:0.8225969999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.383838 stddev:1.0608469999999999 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.4545449999999995 stddev:0.924118 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.383838 stddev:1.107432 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.858586 stddev:0.8166220000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.10101 stddev:0.9044780000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.939394 stddev:0.826556 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.080808 stddev:0.7742939999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.161616 stddev:0.950354 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.0 stddev:0.816497 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.343434 stddev:0.9863879999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.424242 stddev:0.995859 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.20202 stddev:0.920911 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.161616 stddev:0.9068430000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.353535 stddev:0.856504 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.424242 stddev:0.985664 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.282828 stddev:0.921575 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.575758 stddev:1.198407 med:4.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.121212 stddev:0.9349850000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.4444440000000003 stddev:0.9451870000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.313131 stddev:1.088475 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.161616 stddev:1.012119 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.4949489999999996 stddev:0.998724 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.858586 stddev:0.791496 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.163265 stddev:0.944305 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.969697 stddev:0.8581700000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.939394 stddev:0.814244 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.1515150000000003 stddev:1.047977 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.232323 stddev:0.9301709999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.323232 stddev:0.962197 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.323232 stddev:0.8970020000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.373737 stddev:0.859714 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.282828 stddev:1.02534 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.050505 stddev:0.967907 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.565657 stddev:1.046028 med:4.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.040404 stddev:0.886705 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.808081 stddev:0.8248260000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.79798 stddev:0.738273 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.353535 stddev:0.9461579999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.181818 stddev:0.914127 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.181818 stddev:0.9466969999999999 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.060606 stddev:0.826556 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.424242 stddev:1.073942 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.181818 stddev:0.978183 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.464646 stddev:1.103833 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.373737 stddev:0.927535 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.4848480000000004 stddev:1.047977 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.20202 stddev:0.8759389999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.535354 stddev:0.935421 med:4.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.5151519999999996 stddev:1.06708 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.434343 stddev:1.036326 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.393939 stddev:1.013227 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.5252529999999997 stddev:0.880122 med:4.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.161616 stddev:0.8727879999999999 med:3.0
