iteration,time_sec,hvm_busy_cores,hvm_cores,primary_busy_cores,primary_cores,primary_cores_mask,system_busy_mask_raw,f_min,f_max,f_avg,f_stddev,f_med,pred_peak,upper_bound,cpu_max,overpredicted,safeguard,feedback_max,update_model
24,0.174,0,4,5,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100000011111100001100000000000000000000111100,2,5,3.040404,0.764347,3.000000,8,8,5,1,0,7,1
25,0.179,0,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100000000111100000000000000000000000000111100,2,5,3.191919,0.836983,3.000000,8,8,5,1,0,7,1
25,0.184,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100110000111100000000000000000000000000111100,2,5,3.232323,0.814369,3.000000,8,8,5,1,0,7,1
25,0.189,0,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100001100110011000000000000000000000000111100,2,6,3.272727,0.930061,3.000000,7,7,6,1,0,7,1
26,0.194,1,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100110000110000000000000000000000000000111111,2,5,3.000000,0.840875,3.000000,8,8,5,1,0,7,1
27,0.199,0,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100000000110000000000000000000000000000111111,2,6,3.212121,0.819864,3.000000,7,7,6,1,0,7,1
28,0.204,1,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100110000110000111100000000000000000000111100,2,5,3.090909,0.865628,3.000000,8,8,5,1,0,7,1
29,0.210,0,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100000000110000000000000000000000000000111111,2,5,3.222222,0.916246,3.000000,8,8,5,1,0,7,1
29,0.215,0,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100000000110000000000000000000000000000111111,2,7,3.121212,0.977243,3.000000,7,7,7,1,0,7,1
30,0.220,0,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100000000110000000000000000000000000000111111,2,5,2.838384,0.837349,3.000000,8,8,5,1,0,7,1
31,0.225,0,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100001100110000000000000000000000000000111100,2,5,3.252525,0.808333,3.000000,8,8,5,1,0,7,1
31,0.230,1,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001111000000110000111100000000000000000000111100,2,6,3.111111,0.962833,3.000000,7,7,6,1,0,7,1
32,0.235,0,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100000000110000000000000000000000000000111100,2,5,2.959596,0.790335,3.000000,8,8,5,1,0,7,1
33,0.240,0,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100000000110000000000000000000000000000111100,2,6,3.303030,1.095948,3.000000,7,7,6,1,0,7,1
34,0.245,1,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100110000110000000000000000000000000000111100,2,6,3.131313,1.031293,3.000000,7,7,6,1,0,7,1
34,0.250,0,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100000000110000000000000000000000000000111100,2,6,3.090909,0.933018,3.000000,7,7,6,1,0,7,1
34,0.255,0,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100000000111100001100000000000000000000111100,2,6,3.090909,0.865628,3.000000,7,7,6,1,0,7,1
34,0.260,0,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100000011110000000000000000000000000000111100,2,5,3.070707,0.855789,3.000000,8,8,5,1,0,7,1
35,0.265,0,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100000000110011000000000000000000000000111100,2,5,3.222222,0.847522,3.000000,8,8,5,1,0,7,1
35,0.270,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001111000000110011000000000000000000000000111100,2,6,3.181818,0.925111,3.000000,7,7,6,1,0,7,1
36,0.276,0,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100000000110011000000000000000000000000111100,2,4,2.979798,0.751830,3.000000,8,8,4,1,0,7,1
37,0.281,0,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100000011110000110000000000000000000000111100,2,6,3.171717,0.995347,3.000000,7,7,6,1,0,7,1
38,0.286,2,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001111110000110000000000000000000000000000111100,2,5,2.949495,0.808712,3.000000,8,8,5,1,0,7,1
39,0.291,0,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100000000110000110000000000000000000000111100,2,6,3.060606,0.982865,3.000000,7,7,6,1,0,7,1
40,0.296,1,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100110011110000001100000000000000000000111100,2,5,2.969697,0.834297,3.000000,8,8,5,1,0,7,1
41,0.301,0,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100000000110000000000000000000000000000111100,2,6,3.121212,1.037409,3.000000,7,7,6,1,0,7,1
42,0.306,0,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100000011110000000000000000000000000000111100,2,5,2.919192,0.799959,3.000000,8,8,5,1,0,7,1
43,0.311,0,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100000000110000000000000000000000000000111100,2,7,3.030303,0.904026,3.000000,7,7,7,1,0,7,1
