"(PDH-CSV 4.0) (Pacific Daylight Time)(420)","\\WIN-N2S56U6S0IO\Processor(_total)\% Idle Time","\\WIN-N2S56U6S0IO\memory\available bytes","\\WIN-N2S56U6S0IO\memory\committed bytes","\\WIN-N2S56U6S0IO\memory\% committed bytes in use","\\WIN-N2S56U6S0IO\memory\page faults/sec","\\WIN-N2S56U6S0IO\memory\free & zero page list bytes"
"05/24/2020 17:46:53.834"," ","7604465664","901644288","8.5038884562682106605"," ","7273578496"
"05/24/2020 17:46:54.845","99.964143157357071345","7605194752","901644288","8.5038884562682106605","18.779240636695327282","7273512960"
"05/24/2020 17:46:55.857","99.961080245556175328","7604932608","901644288","8.5038884562682106605","0","7273250816"
"05/24/2020 17:46:56.859","99.959839806448442801","7604932608","901644288","8.5038884562682106605","0","7273250816"
"05/24/2020 17:46:57.871","99.963502019297976631","7604736000","901644288","8.5038884562682106605","0","7273054208"
"05/24/2020 17:46:58.878","99.972684741289242538","7604736000","901644288","8.5038884562682106605","0","7273054208"
"05/24/2020 17:46:59.889","99.957057931666852824","7604736000","901644288","8.5038884562682106605","0","7273054208"
"05/24/2020 17:47:00.896","99.886576865156982308","7604285440","901472256","8.5022659293614015752","150.9840584673846422","7272534016"
"05/24/2020 17:47:01.908","99.97043957274459558","7604285440","901472256","8.5022659293614015752","0.98834728665560178662","7272534016"
"05/24/2020 17:47:02.922","94.052095849769528968","7552630784","1011912704","9.5438887154552833891","32980.19965399827197","7221473280"
"05/24/2020 17:47:04.087","79.036561468828352872","7514935296","1045909504","9.8645306913798052051","12223.836919816298177","7169789952"
"05/24/2020 17:47:05.306","0","7514836992","1042026496","9.8279079678067713388","81.234715154984343144","7169658880"
"05/24/2020 17:47:06.470","0","7514841088","1041674240","9.8245856607855728271","26.611824560773982284","7169658880"
"05/24/2020 17:47:07.641","0","7514853376","1041129472","9.8194476472724812055","4.2571354059395725145","7169658880"
"05/24/2020 17:47:08.825","0","7514869760","1040617472","9.8146187164389111501","37.293524191419180625","7169658880"
"05/24/2020 17:47:09.986","0","7514804224","1039769600","9.8066219849993050417","102.25144799650317395","7169593344"
"05/24/2020 17:47:11.165","0","7514804224","1039585280","9.8048835549980584148","37.283889021453823887","7169593344"
"05/24/2020 17:47:12.352","0","7514800128","1038565376","9.7952642966516467737","5.0687161626236756362","7169593344"
"05/24/2020 17:47:13.516","0","7514738688","1037148160","9.7818977687931383258","87.007398443812974165","7169593344"
"05/24/2020 17:47:14.739","0","7514832896","1037008896","9.7805843012827882177","7.4096095555642094155","7169593344"
"05/24/2020 17:47:15.918","0","7514828800","1036779520","9.7784209320737094373","2.5431435831740194509","7169593344"
"05/24/2020 17:47:17.089","0","7514828800","1036566528","9.7764120925628610337","7.616013463757846047","7169593344"
"05/24/2020 17:47:18.367","0","7515119616","1033224192","9.7448887326160651412","54.38685559556799376","7169597440"
"05/24/2020 17:47:19.495","0","7515119616","1033093120","9.743652541596361516","14.154629775926901303","7169597440"
"05/24/2020 17:47:20.695","0","7516164096","1032314880","9.7363125322704000553","114.57413747883595079","7169601536"
"05/24/2020 17:47:21.812","0","7516160000","1031712768","9.7306336997381013276","12.551737814997066423","7169609728"
"05/24/2020 17:47:22.991","0","7516205056","1030819840","9.7222120058076022531","6.8172047500578401014","7169654784"
"05/24/2020 17:47:24.132","0","7519330304","1020682240","9.6265988912495306096","16.658790273721461261","7172820992"
"05/24/2020 17:47:25.310","0","7519391744","1020485632","9.6247445814369108064","78.030159165409784805","7172939776"
"05/24/2020 17:47:26.496","0","7518646272","1023246336","9.6507822651534311831","903.11498778770976514","7172718592"
"05/24/2020 17:47:27.681","0","7525949440","1011646464","9.5413776835290207146","1334.8266164259518973","7177547776"
"05/24/2020 17:47:28.850","0","7527108608","1011474432","9.5397551566222116293","6.8852575275659892995","7177871360"
"05/24/2020 17:47:29.962","0","7527178240","1011314688","9.5382485095267774966","12.495338792368347214","7177875456"
"05/24/2020 17:47:31.155","0","7527231488","1011257344","9.5377076672245078015","0.8419668615314770399","7177932800"
"05/24/2020 17:47:32.352","0","7527260160","1011154944","9.536741885714405953","5.8464190808410254618","7177961472"
"05/24/2020 17:47:33.537","0","7528206336","1009868800","9.5246115721586654956","50.758058920462381991","7178682368"
"05/24/2020 17:47:34.710","0","7528787968","1009020928","9.5166148407190611636","6.8229101724644065641","7179542528"
"05/24/2020 17:47:35.888","0","7529873408","1007345664","9.5008145341418721586","90.763776329553593314","7180390400"
"05/24/2020 17:47:37.068","0","7530377216","1008017408","9.5071501120708763466","21.178401859158711318","7180853248"
"05/24/2020 17:47:38.245","0","7530520576","1007890432","9.5059525243718994147","11.042142080431304407","7181000704"
"05/24/2020 17:47:39.453","0","7530565632","1010708480","9.5325310503906877102","112.66891535043552608","7181099008"
"05/24/2020 17:47:40.631","0","7530639360","1010593792","9.53144936578614832","10.171780175963322179","7181172736"
"05/24/2020 17:47:41.803","0","7530639360","1010593792","9.53144936578614832","2.5596859026493432587","7181172736"
"05/24/2020 17:47:42.975","0","7533928448","1007108096","9.4985739117252112607","0","7184461824"
