"(PDH-CSV 4.0) (Pacific Daylight Time)(420)","\\WIN-N2S56U6S0IO\Processor(_total)\% Idle Time","\\WIN-N2S56U6S0IO\memory\available bytes","\\WIN-N2S56U6S0IO\memory\committed bytes","\\WIN-N2S56U6S0IO\memory\% committed bytes in use","\\WIN-N2S56U6S0IO\memory\page faults/sec","\\WIN-N2S56U6S0IO\memory\free & zero page list bytes"
"05/22/2020 07:38:53.905"," ","7607074816","898031616","8.4698154145082948929"," ","7276007424"
"05/22/2020 07:38:54.921","99.944109042902809392","7607877632","897916928","8.4687337299037572791","16.740836779894134878","7276011520"
"05/22/2020 07:38:55.929","99.955534558812658474","7607873536","897859584","8.468192887601487584","0.99198318866250523307","7276011520"
"05/22/2020 07:38:56.936","99.946357222362863126","7607808000","897773568","8.4673816125065517468","0","7275945984"
"05/22/2020 07:38:57.937","99.957345340155683289","7607808000","897773568","8.4673816125065517468","0","7275945984"
"05/22/2020 07:38:58.950","99.956439242967391579","7607808000","897716224","8.4668407702042820517","0","7275945984"
"05/22/2020 07:38:59.961","99.975333119013455985","7607808000","897716224","8.4668407702042820517","0","7275945984"
"05/22/2020 07:39:00.968","99.871257176354617968","7607885824","897658880","8.4662999279020123566","143.04012921291672455","7275954176"
"05/22/2020 07:39:01.970","99.956935148848373274","7607885824","897658880","8.4662999279020123566","0","7275954176"
"05/22/2020 07:39:02.970","94.966614591841818083","7572029440","993521664","9.3704330058233900047","26000.656315597814682","7240810496"
"05/22/2020 07:39:03.984","94.954915214245943389","7540674560","1027252224","9.6885639265385830043","14448.791478497965727","7209410560"
"05/22/2020 07:39:04.990","96.892889488120147234","7528574976","1034207232","9.7541603282452946644","4650.8444580599025358","7188090880"
"05/22/2020 07:39:06.022","24.506957589399906539","7518834688","1040015360","9.8089398839066124225","2473.5413907852489501","7173550080"
"05/22/2020 07:39:07.215","0","7518896128","1036562432","9.7763734659590699749","73.347611106244698931","7173550080"
"05/22/2020 07:39:08.381","0","7518900224","1036316672","9.7740555670517625941","3.4234045330155273845","7173550080"
"05/22/2020 07:39:09.568","0","7518941184","1035796480","9.7691493597275460559","12.656985647737695189","7173550080"
"05/22/2020 07:39:10.756","0","7518867456","1035571200","9.7670246171222601106","156.42607131464589543","7173484544"
"05/22/2020 07:39:11.948","0","7518859264","1036054528","9.7715831617292909783","23.512305080891565012","7173484544"
"05/22/2020 07:39:12.981","0","7518859264","1036021760","9.7712741023328337775","12.558253390390309079","7173484544"
"05/22/2020 07:39:14.100","0","7518797824","1034391552","9.7558987349634751496","52.625011383503526474","7173484544"
"05/22/2020 07:39:15.291","0","7518883840","1034280960","9.7548556769627268181","4.2164723407004105482","7173484544"
"05/22/2020 07:39:16.321","0","7518887936","1034084352","9.7530013671501070149","11.651125683217154361","7173484544"
"05/22/2020 07:39:17.479","0","7518887936","1033826304","9.7505675884314282342","0","7173484544"
"05/22/2020 07:39:18.663","0","7518887936","1033768960","9.7500267461291567628","37.838601882159323964","7173484544"
"05/22/2020 07:39:19.853","0","7518883840","1033093120","9.743652541596361516","47.291885092542194968","7173484544"
"05/22/2020 07:39:21.038","0","7518875648","1032601600","9.7390167437817467544","13.500450915060563162","7173484544"
"05/22/2020 07:39:22.225","0","7518863360","1032261632","9.7358103165719214189","45.473925461667711545","7173484544"
"05/22/2020 07:39:23.388","0","7519899648","1031331840","9.7270409599242366738","67.933357204599104762","7173472256"
"05/22/2020 07:39:24.554","0","7520485376","1029169152","9.7066435054192901077","14.515510677011958407","7173509120"
"05/22/2020 07:39:25.726","0","7520473088","1028661248","9.7018531779064449694","17.934350541228806009","7173517312"
"05/22/2020 07:39:26.902","0","7520460800","1028460544","9.6999602414900341074","72.551949970223816422","7173459968"
"05/22/2020 07:39:27.947","0","7518887936","1034113024","9.753271799942773157","1673.8088852623031926","7172808704"
"05/22/2020 07:39:29.148","0","7521144832","1028272128","9.6981831848849964217","1233.7201181873904261","7172321280"
"05/22/2020 07:39:30.195","0","7521779712","1026273280","9.6793309807962106817","14.429988054855886759","7172321280"
"05/22/2020 07:39:31.335","0","7521779712","1026273280","9.6793309807962106817","5.26062910109877091","7172321280"
"05/22/2020 07:39:32.496","0","7521779712","1026273280","9.6793309807962106817","6.0284600152485587898","7172321280"
"05/22/2020 07:39:33.679","0","7522054144","1025400832","9.6711024664507956317","53.268347077271485546","7172370432"
"05/22/2020 07:39:35.071","0","7522066432","1025183744","9.6690549770530900275","7.1855469907827398401","7172382720"
"05/22/2020 07:39:36.242","0","7522377728","1024581632","9.6633761445207930763","40.142212756631515447","7172694016"
"05/22/2020 07:39:37.403","0","7522488320","1024921600","9.6665825717306184117","59.432963020035195711","7172804608"
"05/22/2020 07:39:38.562","0","7525875712","1017724928","9.5987069210034583477","10.271963941297780565","7176192000"
"05/22/2020 07:39:39.744","0","7526117376","1015328768","9.5761074474025758008","13.637338008667379441","7176441856"
"05/22/2020 07:39:40.804","0","7526268928","1017397248","9.5956163968880687776","145.29014630906422667","7176646656"
"05/22/2020 07:39:41.914","0","7526285312","1017368576","9.5953459640954026355","0","7176663040"
"05/22/2020 07:39:43.101","0","7526309888","1017311232","9.5948051217931329404","1.6848772411078707378","7176687616"
"05/22/2020 07:39:44.150","0","7529410560","1013796864","9.561659234939529739","8.5794139631106158816","7179788288"
"05/22/2020 07:39:45.305","0","7536283648","1006878720","9.4964105425161324803","166.51013563587804356","7186571264"
"05/22/2020 07:39:46.492","0","7536250880","1006850048","9.4961401097234663382","109.08934078748973207","7186538496"
