iteration,time_sec,hvm_busy_cores,hvm_cores,primary_busy_cores,primary_cores,primary_cores_mask,system_busy_mask_raw,f_min,f_max,f_avg,f_stddev,f_med,pred_peak,upper_bound,cpu_max,overpredicted,safeguard,explore,update_model
24,0.174,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000000000011001100000000000000000000111100,2,5,3.030303,0.881396,3.000000,8,8,5,1,0,0,1
24,0.179,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100000000000011111100000000000000000000111100,2,6,3.313131,1.050699,3.000000,7,7,6,1,0,0,1
25,0.184,2,4,5,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001111001100110011111100000000000000000000111100,2,5,2.777778,0.785674,3.000000,8,8,5,1,0,0,1
26,0.189,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000011110000000011001100000000000000000000111111,2,6,3.171717,0.953891,3.000000,7,7,6,1,0,0,1
27,0.194,2,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111100000000000011001100000000000000000000111100,2,5,2.969697,0.822101,3.000000,8,8,5,1,0,0,1
28,0.199,1,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000011000000000011001100000000000000000000111100,2,5,3.111111,0.839539,3.000000,8,8,5,1,0,0,1
28,0.204,2,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001111000011000011001100000000000000000000111100,2,6,3.060606,1.003209,3.000000,7,7,6,1,0,0,1
29,0.210,0,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000000000001111001100000000000000000000111100,2,5,2.979798,0.828529,3.000000,8,8,5,1,0,0,1
30,0.215,0,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000000000001111111100000000000000000000111100,2,6,3.151515,0.935966,3.000000,7,7,6,1,0,1,1
31,0.220,0,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001100110000000011001100000000000000000000111100,2,6,3.383838,0.928854,3.000000,7,7,6,1,0,0,1
32,0.225,0,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000000000000011111100000000000000000000111111,2,5,2.909091,0.779678,3.000000,8,8,5,1,0,0,1
33,0.230,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000111100000011001100000000000000000000111100,2,6,3.060606,0.874073,3.000000,7,7,6,1,0,0,1
34,0.235,1,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000001100000011001100000000000000000000110011,2,5,2.858586,0.765547,3.000000,8,8,5,1,0,0,1
35,0.240,0,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000110011000011001100000000000000000000110011,2,6,2.979798,0.828529,3.000000,7,7,6,1,0,0,1
36,0.246,1,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100000000110011001100000000000000000000110011,2,5,2.878788,0.890724,3.000000,8,8,5,1,0,0,1
37,0.251,2,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001111001100001111001100000000000000000000110011,2,6,3.111111,0.851486,3.000000,7,7,6,1,0,1,1
38,0.256,0,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000000000001100000011001100000000000000000000111111,2,6,3.464646,0.967274,3.000000,7,7,6,1,0,0,1
39,0.261,0,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000000000110011001100000000000000000000110011,2,5,2.979798,0.852564,3.000000,8,8,5,1,0,1,1
40,0.266,0,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000000000000000110011001100000000000000000000110000,2,6,3.454545,1.047100,3.000000,7,7,6,1,0,0,1
41,0.271,0,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000000000000011111100000000000000000000110000,2,5,2.919192,0.848966,3.000000,8,8,5,1,0,1,1
42,0.277,0,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000001100000000000011001100000000000000000000111100,2,6,3.393939,0.962091,3.000000,7,7,6,1,0,0,1
43,0.282,2,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100111100000011001100000000000000000000110000,2,5,2.989899,0.858645,3.000000,8,8,5,1,0,1,1
44,0.287,0,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000000000000000110011111100000000000000000000110000,2,6,3.454545,0.956348,3.000000,7,7,6,1,0,1,1
44,0.292,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110000000000110011001100000000000000000000110000,2,7,3.373737,0.970118,3.000000,7,7,7,1,0,1,1
44,0.297,0,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000000011000000000011001100000000000000000000110000,2,6,3.373737,0.949065,3.000000,7,7,6,1,0,0,1
45,0.302,2,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001111001100000011001100000000000000000000110000,2,5,2.979798,0.852564,3.000000,8,8,5,1,0,0,1
46,0.308,1,3,5,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000011110011000011111100000000000000000000110000,2,6,3.030303,0.926103,3.000000,7,7,6,1,0,0,1
47,0.313,2,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000110000001100110011001100000000000000000000110000,2,5,2.838384,0.800342,3.000000,8,8,5,1,0,0,1
48,0.318,1,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000110000000011001100000000000000000000110000,2,7,3.181818,0.925111,3.000000,7,7,7,1,0,0,1
49,0.323,0,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000001100001111001100000000000000000000110000,2,5,2.929293,0.879078,3.000000,8,8,5,1,0,1,1
50,0.328,0,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000000000110000000011001100000000000000000000110000,2,6,3.363636,1.039177,3.000000,7,7,6,1,0,0,1
51,0.334,1,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000011000011000011001100000000000000000000110000,2,5,2.929293,0.781769,3.000000,8,8,5,1,0,0,1
52,0.339,1,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000011000000000011001100000000000000000000110011,2,6,3.232323,1.052446,3.000000,7,7,6,1,0,0,1
53,0.344,0,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000000011000011001100000000000000000000110000,2,5,3.101010,0.858645,3.000000,8,8,5,1,0,0,1
54,0.349,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000011000000110011001100000000000000000000110000,2,6,3.111111,0.983592,3.000000,7,7,6,1,0,0,1
55,0.355,1,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100001100110011001100000000000000000000110000,2,6,2.989899,0.969171,3.000000,7,7,6,1,0,1,1
56,0.360,1,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111100000000000011111100000000000000000000110000,2,6,3.383838,0.981723,3.000000,7,7,6,1,0,0,1
57,0.365,2,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000110011000000000011001100000000000000000000110000,2,6,2.989899,0.810224,3.000000,7,7,6,1,0,0,1
57,0.370,0,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000000000001111001100000000000000000000110000,2,5,2.878788,0.832093,3.000000,8,8,5,1,0,0,1
58,0.375,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000110000000011111100000000000000000000110000,2,5,3.080808,0.872437,3.000000,8,8,5,1,0,0,1
58,0.380,0,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000000000000011111100000000000000000000110000,2,5,3.080808,0.872437,3.000000,8,8,5,1,0,0,1
58,0.385,0,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000001111000011001100000000000000000000110000,2,5,3.101010,0.858645,3.000000,8,8,5,1,0,0,1
58,0.390,0,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000001100110011001100000000000000000000000000,2,6,3.181818,0.880354,3.000000,7,7,6,1,0,0,1
59,0.396,0,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000000000001111001100000000000000000000000011,2,5,2.969697,0.758182,3.000000,8,8,5,1,0,0,1
