"(PDH-CSV 4.0) (Pacific Daylight Time)(420)","\\WIN-N2S56U6S0IO\Processor(_total)\% Idle Time","\\WIN-N2S56U6S0IO\memory\available bytes","\\WIN-N2S56U6S0IO\memory\committed bytes","\\WIN-N2S56U6S0IO\memory\% committed bytes in use","\\WIN-N2S56U6S0IO\memory\page faults/sec","\\WIN-N2S56U6S0IO\memory\free & zero page list bytes"
"05/24/2020 17:27:16.532"," ","7610298368","898920448","8.4781984585519420961"," ","7279558656"
"05/24/2020 17:27:17.541","99.966487155044930546","7610286080","898920448","8.4781984585519420961","18.833631235121430336","7279558656"
"05/24/2020 17:27:18.557","99.964569455385571928","7610286080","898863104","8.477657616249672401","0","7279558656"
"05/24/2020 17:27:19.558","99.941861957455259358","7610286080","898777088","8.4768463644377991528","0","7279558656"
"05/24/2020 17:27:20.570","99.979442933137647742","7610286080","898777088","8.4768463644377991528","0","7279558656"
"05/24/2020 17:27:21.572","99.967905046055506091","7610286080","898719744","8.4763055221355294577","0","7279558656"
"05/24/2020 17:27:22.584","99.962523963612667899","7610286080","898719744","8.4763055221355294577","0","7279558656"
"05/24/2020 17:27:23.590","99.902545450066497779","7610224640","898662400","8.4757646798332597626","140.06087780820817557","7279427584"
"05/24/2020 17:27:24.606","99.956260276274321086","7609962496","898662400","8.4757646798332597626","1.969890421890446941","7279165440"
"05/24/2020 17:27:25.620","95.113772162170604929","7568441344","999436288","9.4262169928816650355","26906.686699238332949","7238348800"
"05/24/2020 17:27:26.628","93.887212844462169414","7530000384","1035415552","9.7655566199136796257","17212.219505489385483","7192752128"
"05/24/2020 17:27:27.737","28.090021697842658455","7518470144","1038807040","9.7975435689551630958","2931.5935943120130105","7174512640"
"05/24/2020 17:27:29.165","0","7518658560","1038426112","9.7939508291412948893","44.982579793122305034","7174447104"
"05/24/2020 17:27:30.494","0","7518670848","1037889536","9.7888900921188497506","8.3122560966809082572","7174447104"
"05/24/2020 17:27:31.883","0","7518617600","1038389248","9.7936031431410466297","152.58545253174531808","7174381568"
"05/24/2020 17:27:33.271","0","7518617600","1038368768","9.7934099868390269705","5.7616638763408651869","7174381568"
"05/24/2020 17:27:34.509","0","7518552064","1036464128","9.7754463110527609615","62.700954549685768313","7174381568"
"05/24/2020 17:27:35.838","0","7518580736","1036148736","9.772471666748746344","3.7718811540598458087","7174381568"
"05/24/2020 17:27:37.055","0","7518580736","1036017664","9.7712354757290409424","7.366902178343861074","7174381568"
"05/24/2020 17:27:38.414","0","7518588928","1035874304","9.7698833583318354101","0","7174381568"
"05/24/2020 17:27:39.601","0","7518875648","1032478720","9.7378578059696252467","79.775051150503188069","7174381568"
"05/24/2020 17:27:40.959","0","7518875648","1032294400","9.7361193759683803961","3.6815644115832917294","7174381568"
"05/24/2020 17:27:42.348","0","7518875648","1032007680","9.7334151644570319206","14.391669871211824727","7174381568"
"05/24/2020 17:27:43.737","0","7518867456","1031393280","9.7276204288302974277","22.315358048480188558","7174381568"
"05/24/2020 17:27:45.115","0","7518879744","1030586368","9.7200100099947324139","7.9801627663016594383","7174426624"
"05/24/2020 17:27:46.474","0","7518924800","1029070848","9.705716350512979318","16.185764311287268669","7174459392"
"05/24/2020 17:27:47.722","0","7518961664","1028620288","9.7014668653024056511","14.491449159407389757","7174516736"
"05/24/2020 17:27:48.990","0","7527297024","1013739520","9.5611183926372600439","200.89743079652456004","7182340096"
"05/24/2020 17:27:50.299","0","7526653952","1016573952","9.5878514483542769398","791.14446144394685234","7182581760"
"05/24/2020 17:27:51.536","0","7529041920","1016320000","9.5854562962393874415","526.05720606674265127","7182458880"
"05/24/2020 17:27:52.865","0","7529533440","1016082432","9.5832156505396621782","291.73678237758673504","7182725120"
"05/24/2020 17:27:54.847","0","7529873408","1013702656","9.5607707299200743734","433.24601837326258646","7182557184"
"05/24/2020 17:27:56.063","0","7531724800","1009643520","9.522486829553377774","94.12546597221169975","7182893056"
"05/24/2020 17:27:57.411","0","7532630016","1008562176","9.5122881023009053791","53.549638171788572549","7183810560"
"05/24/2020 17:27:58.800","0","7533080576","1007173632","9.4991920072350630733","51.919979197395001336","7184101376"
"05/24/2020 17:27:59.987","0","7533121536","1006944256","9.4970286380259860692","10.064800540815282304","7184326656"
"05/24/2020 17:28:01.375","0","7533293568","1006624768","9.494015390401242982","28.187659269309378374","7184379904"
"05/24/2020 17:28:02.755","0","7533383680","1010413568","9.5297495856717588936","111.65811503265527449","7184465920"
"05/24/2020 17:28:04.113","0","7533522944","1010327552","9.5289383105768212801","5.8668583955990349921","7184605184"
"05/24/2020 17:28:05.501","0","7536644096","1006727168","9.4949811719113466069","0","7187730432"
"05/24/2020 17:28:06.891","0","7536672768","1006596096","9.4937449576085768399","117.341859887196307","7187755008"
"05/24/2020 17:28:08.270","0","7536697344","1006538752","9.4932041153063071448","141.36721526087362122","7187779584"
"05/24/2020 17:28:09.629","0","7536697344","1006538752","9.4932041153063071448","1.4722677030253481512","7187836928"
"05/24/2020 17:28:10.877","0","7536762880","1007460352","9.5018962187464115488","6.4377271411196463902","7187849216"
"05/24/2020 17:28:12.176","0","7536910336","1007374336","9.501084966934540077","3.8334127616457549514","7187906560"
"05/24/2020 17:28:13.444","0","7536951296","1007296512","9.500350945047184581","11.886525521836299291","7187963904"
"05/24/2020 17:28:14.752","0","7537033216","1007067136","9.498187599121170166","5.326382049666381846","7188029440"
"05/24/2020 17:28:16.033","0","7537274880","1007001600","9.4975694803282557643","160.84496804755863764","7188279296"
