iteration,time_sec,hvm_busy_cores,hvm_cores,primary_busy_cores,primary_cores,primary_cores_mask,system_busy_mask_raw,f_min,f_max,f_avg,f_stddev,f_med,pred_peak,upper_bound,cpu_max,overpredicted,safeguard,explore,update_model
10483,53.421179,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000011000000111100000000000000000000001100,2,5,3.212121,0.794841,3.000000,8,8,5,1,0,1,1
10484,53.426278,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110000001111000000110000000000000000000000001100,2,7,3.505051,0.988558,3.000000,7,7,7,1,0,0,1
10485,53.431398,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000000110000000000000000000000001100,2,6,3.171717,0.910549,3.000000,7,7,6,1,0,0,1
10486,53.436410,4,4,5,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011111111110000000000000000000000001100,2,6,3.080808,0.836983,3.000000,7,7,6,1,0,0,1
10487,53.441467,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000000110000000000000000000000001100,2,6,2.989899,0.834786,3.000000,7,7,6,1,0,0,1
10488,53.446479,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111111000000110000000000000000000000001100,2,6,3.131313,0.836617,3.000000,7,7,6,1,0,0,1
10489,53.451492,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111111000011110000000000000000000000001100,2,6,3.343434,1.006661,3.000000,7,7,6,1,0,0,1
10490,53.456509,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011110011110000000000000000000000001100,2,6,3.303030,0.926103,3.000000,7,7,6,1,0,0,1
10491,53.461524,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111111000000110000000000000000000000001100,2,7,3.404040,1.033961,3.000000,7,7,7,0,0,0,0
10492,53.466538,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011001100111100000000000000000000001100,2,6,3.454545,0.890724,3.000000,8,8,6,1,0,1,1
10493,53.471680,1,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111100000011000011110000000000000000000000001100,2,7,3.505051,1.149209,3.000000,7,7,7,1,0,0,1
10494,53.476813,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000110011111111001100111100000000000000000000001100,2,5,2.878788,0.794841,3.000000,8,8,5,1,0,0,1
10495,53.481916,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000110011110011110000110000000000000000000000001100,2,6,3.323232,0.897002,3.000000,7,7,6,1,0,1,1
10496,53.487034,1,1,2,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110000000011000000110000000000000000000000001100,2,7,3.404040,1.043684,3.000000,7,7,7,1,0,0,1
10497,53.492161,4,4,5,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111111110011110000000000000000000000001100,2,6,3.050505,0.946805,3.000000,7,7,6,1,0,1,1
10498,53.497262,1,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110000110011001100110000000000000000000000001100,2,6,3.383838,1.089037,3.000000,7,7,6,1,0,0,1
10499,53.502372,2,4,5,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000110000001111110011111100000000000000000000001100,2,5,3.131313,0.836617,3.000000,8,8,5,1,0,0,1
10500,53.507507,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000011000000110000000000000000000000001100,2,5,3.111111,0.851486,3.000000,8,8,5,1,0,0,1
10501,53.512521,3,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000011001111110000000000000000000000001100,2,5,3.131313,0.872086,3.000000,8,8,5,1,0,0,1
10502,53.517536,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000011001100110000000000000000000000001100,2,6,3.030303,0.858170,3.000000,7,7,6,1,0,0,1
10503,53.522652,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000000111100000000000000000000001100,2,5,3.000000,0.840875,3.000000,8,8,5,1,0,0,1
10504,53.527753,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000011000011110000000000000000000000001100,2,5,3.313131,0.860426,3.000000,8,8,5,1,0,0,1
10505,53.532768,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000011001100110000000000000000000000001100,2,6,3.262626,0.970118,3.000000,7,7,6,1,0,0,1
10506,53.537877,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111111000000111100000000000000000000001100,2,6,3.303030,0.926103,3.000000,7,7,6,1,0,1,1
10507,53.542977,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110000110011000000110000000000000000000000001100,2,6,3.414141,1.054189,3.000000,7,7,6,1,0,0,1
10508,53.548081,3,4,5,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000110011001111111100111100000000000000000000001100,2,6,3.121212,0.867747,3.000000,7,7,6,1,0,0,1
10509,53.553095,3,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111000011001100110000000000000000000000001100,2,5,3.040404,0.815496,3.000000,8,8,5,1,0,0,1
10510,53.558214,3,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000011000011111100000000000000000000001100,2,6,3.333333,0.974420,3.000000,7,7,6,1,0,0,1
10511,53.563323,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000000110000000000000000000000001100,2,5,2.989899,0.870330,3.000000,8,8,5,1,0,0,1
10512,53.568446,3,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111001111000011110000000000000000000000001100,2,7,3.242424,0.985664,3.000000,7,7,7,1,0,1,1
10513,53.573547,1,1,5,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110000000011001111111100000000000000000000001100,2,6,3.494949,0.808712,3.000000,8,8,6,1,0,0,1
10514,53.578647,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000011000000110000000000000000000000001100,2,5,3.060606,0.850647,3.000000,8,8,5,1,0,0,1
10515,53.583667,3,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111001111000011110000000000000000000000001100,2,6,3.070707,0.819615,3.000000,7,7,6,1,0,0,1
10516,53.588796,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000000110000000000000000000000001100,2,5,3.101010,0.881859,3.000000,8,8,5,1,0,1,1
10517,53.593898,1,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110000110011000011110000000000000000000000001100,2,6,3.464646,0.946158,3.000000,7,7,6,1,0,0,1
10518,53.599000,1,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000110000000011110011110000000000000000000000001100,2,5,2.858586,0.828899,3.000000,8,8,5,1,0,0,1
10519,53.604105,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000011000000110000000000000000000000001100,2,6,3.030303,0.904026,3.000000,7,7,6,1,0,1,1
10520,53.609199,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111100000011000000110000000000000000000000001100,2,6,3.363636,0.904026,3.000000,7,7,6,1,0,1,1
10521,53.614221,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110000110011000000110000000000000000000000001100,2,5,3.353535,0.879774,3.000000,8,8,5,1,0,0,1
10522,53.619350,2,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000110011000011000000110000000000000000000000001100,2,5,3.040404,0.875240,3.000000,8,8,5,1,0,0,1
10523,53.624363,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000011000000110000000000000000000000001100,2,6,3.050505,0.936075,3.000000,7,7,6,1,0,0,1
10524,53.629469,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111111110000110000000000000000000000001100,2,5,2.848485,0.845232,3.000000,8,8,5,1,0,0,1
10525,53.634570,3,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000011110000111100000000000000000000001100,2,7,3.060606,1.126523,3.000000,7,7,7,1,0,0,1
10526,53.639668,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011110011110000000000000000000000001100,2,5,2.828283,0.779023,3.000000,8,8,5,1,0,0,1
10527,53.644764,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000011000011110000000000000000000000001100,2,5,3.080808,0.848966,3.000000,8,8,5,1,0,0,1
10528,53.649777,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000011110000110000000000000000000000001100,2,5,3.181818,0.857099,3.000000,8,8,5,1,0,0,1
10529,53.654790,3,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111001111000000111100000000000000000000001100,2,6,3.313131,0.981099,3.000000,7,7,6,1,0,1,1
10530,53.659897,1,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110000110011110000110000000000000000000000001100,2,6,3.464646,0.946158,3.000000,7,7,6,1,0,0,1
10531,53.665007,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111001111000000110000000000000000000000001100,2,5,3.070707,0.794584,3.000000,8,8,5,1,0,0,1
10532,53.670104,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000011000000110000000000000000000000001100,2,6,3.373737,0.882900,3.000000,7,7,6,1,0,0,1
10533,53.675211,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000000110000000000000000000000001100,2,6,3.030303,0.809721,3.000000,7,7,6,1,0,0,1
10534,53.680226,4,4,5,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111111001111110000000000000000000000001100,2,5,3.030303,0.834297,3.000000,8,8,5,1,0,0,1
10535,53.685351,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000011000000110000000000000000000000001100,2,5,3.272727,0.940859,3.000000,8,8,5,1,0,0,1
10536,53.690367,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000011000000110000000000000000000000001100,2,7,3.323232,1.042804,3.000000,7,7,7,1,0,0,1
10537,53.695478,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011001100110000000000000000000000001100,2,6,3.292929,1.017548,3.000000,7,7,6,1,0,0,1
10538,53.700494,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000000110000000000000000000000001100,2,6,3.323232,1.042804,3.000000,7,7,6,1,0,0,1
10539,53.705525,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000000111100000000000000000000111100,2,6,3.515152,1.008686,3.000000,7,7,6,1,0,0,1
10540,53.710543,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011110000110000000000000000000000001100,2,6,3.383838,1.041629,3.000000,7,7,6,1,0,0,1
10541,53.715558,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011110000110000000000000000000000001100,2,7,3.303030,1.086692,3.000000,7,7,7,0,0,1,0
10542,53.720698,1,1,2,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110000000011000000110000000000000000000000001100,2,7,3.474747,0.913904,4.000000,7,7,7,1,0,0,1
10543,53.725818,3,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000110011111111000000111100000000000000000000001100,2,6,3.161616,1.022051,3.000000,7,7,6,1,0,0,1
10544,53.730832,4,4,5,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111111001100111100000000000000000000001100,2,6,3.060606,0.940859,3.000000,7,7,6,1,0,0,1
10545,53.735879,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000000111100000000000000000000000011,2,6,3.161616,0.939665,3.000000,7,7,6,1,0,0,1
10546,53.740906,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000000110000000000000000000000000011,2,6,3.323232,0.930171,3.000000,7,7,6,1,0,0,1
10547,53.745919,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111111000000110000000000000000000000000011,2,6,3.292929,1.037212,3.000000,7,7,6,1,0,0,1
10548,53.750936,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000000110000000000000000000000000011,2,6,3.383838,0.981723,3.000000,7,7,6,1,0,1,1
10549,53.756099,1,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110000001111110000110000000000000000000000000011,2,6,3.404040,1.100222,3.000000,7,7,6,1,0,0,1
10550,53.761222,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000000111100000000000000000000000011,2,5,2.858586,0.816622,3.000000,8,8,5,1,0,0,1
10551,53.766341,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000011000000111100000000000000000000000011,2,5,3.090909,0.753321,3.000000,8,8,5,1,0,0,1
10552,53.771360,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000011000000110000000000000000000000000011,2,6,3.202020,0.942593,3.000000,7,7,6,1,0,0,1
