iteration,time_sec,hvm_busy_cores,hvm_cores,primary_busy_cores,primary_cores,primary_cores_mask,system_busy_mask_raw,f_min,f_max,f_avg,f_stddev,f_med,pred_peak,upper_bound,cpu_max,overpredicted,safeguard,explore,update_model
0,0.005,1,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111100000011000011001100000000000000000000111100,2,6,3.454545,0.966852,3.000000,0,10,6,1,0,0,0
0,0.010,1,1,2,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000110000000000000011001100000000000000000000111100,2,6,3.373737,0.882900,3.000000,7,7,6,1,0,0,1
1,0.015,0,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000001111000011001100000000000000000000111100,2,4,3.010101,0.703454,3.000000,8,8,4,1,0,0,1
2,0.021,1,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100000000000011001100000000000000000000111100,2,5,2.989899,0.893240,3.000000,8,8,5,1,0,0,1
2,0.026,2,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111100000000111111001100000000000000000000111100,2,5,3.040404,0.920246,3.000000,8,8,5,1,0,0,1
2,0.031,1,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000110000000000000011001100000000000000000000111100,2,6,2.989899,0.881859,3.000000,7,7,6,1,0,0,1
3,0.036,0,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000000011000011001100000000000000000000111100,2,5,3.060606,0.736058,3.000000,8,8,5,1,0,0,1
4,0.041,1,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100000011110011001100000000000000000000111100,2,6,3.111111,0.839539,3.000000,7,7,6,1,0,0,1
5,0.046,1,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000011000011000011001100000000000000000000110000,2,5,3.111111,0.737028,3.000000,8,8,5,1,0,0,1
6,0.051,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000011000000001111001100000000000000000000111100,2,6,3.090909,0.922129,3.000000,7,7,6,1,0,0,1
7,0.057,2,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001111000000000011001100000000000000000000110000,2,5,2.989899,0.784895,3.000000,8,8,5,1,0,0,1
8,0.062,0,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000000000000011111100000000000000000000110000,2,6,3.060606,1.003209,3.000000,7,7,6,1,0,0,1
9,0.067,0,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000001100000011001100000000000000000000110000,2,5,2.898990,0.858645,3.000000,8,8,5,1,0,0,1
10,0.072,2,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000110011001100000011001100000000000000000000110011,2,6,3.131313,0.949710,3.000000,7,7,6,1,0,0,1
11,0.077,1,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000110000000000000011001100000000000000000000110011,2,5,2.898990,0.758720,3.000000,8,8,5,1,0,0,1
12,0.082,0,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000000000000011111100000000000000000000110011,2,5,3.161616,0.825198,3.000000,8,8,5,1,0,0,1
12,0.087,1,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100000000000011001100000000000000000000110011,2,6,3.141414,0.942917,3.000000,7,7,6,1,0,0,1
13,0.092,1,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000110000000000000011001100000000000000000000111111,2,7,2.797980,0.828529,3.000000,7,7,7,0,0,0,0
13,0.097,2,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100110000000011001100000000000000000000110011,2,5,2.878788,0.728534,3.000000,8,8,5,1,0,0,1
14,0.102,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100000000001111001100000000000000000000110011,2,6,3.151515,0.914127,3.000000,7,7,6,1,0,0,1
15,0.108,2,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001111000011000011111100000000000000000000110011,2,7,2.929293,0.912899,3.000000,7,7,7,0,0,0,0
15,0.113,0,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000000000000011001100000000000000000000110011,2,5,2.818182,0.729794,3.000000,8,8,5,1,0,0,1
16,0.118,1,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000011001100001111001100000000000000000000110011,2,6,3.151515,0.925111,3.000000,7,7,6,1,0,0,1
17,0.123,2,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100111100000011111100000000000000000000111100,2,5,2.949495,0.729933,3.000000,8,8,5,1,0,0,1
18,0.128,1,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000011001111000011001100000000000000000000111100,2,5,3.030303,0.797148,3.000000,8,8,5,1,0,0,1
18,0.133,1,3,5,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100110011001111001100000000000000000000111111,2,6,3.090909,0.975362,3.000000,7,7,6,1,0,0,1
19,0.138,1,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000111100110011001100000000000000000000110000,2,5,2.929293,0.768739,3.000000,8,8,5,1,0,0,1
20,0.143,0,3,5,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000000011111111001100000000000000000000110000,2,7,3.202020,1.034553,3.000000,7,7,7,1,0,0,1
21,0.148,1,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100000000000011001100000000000000000000110000,2,5,2.797980,0.765147,3.000000,8,8,5,1,0,0,1
22,0.154,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100110000000011001100000000000000000000110011,2,6,3.121212,0.901992,3.000000,7,7,6,1,0,0,1
23,0.159,2,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000011111100000011001100000000000000000000110011,2,5,2.757576,0.753321,3.000000,8,8,5,1,0,0,1
24,0.164,0,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000001100000011001100000000000000000000110011,2,5,3.161616,0.872788,3.000000,8,8,5,1,0,0,1
24,0.169,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000011110000000011001100000000000000000000110011,2,6,3.030303,0.958266,3.000000,7,7,6,1,0,0,1
25,0.174,2,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111100000011110011001100000000000000000000111100,2,6,2.949495,0.857218,3.000000,7,7,6,1,0,0,1
25,0.179,2,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000011001100110011001100000000000000000000111100,2,5,2.838384,0.800342,3.000000,8,8,5,1,0,0,1
26,0.184,1,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000011000000000011001100000000000000000000110000,2,5,3.090909,0.922129,3.000000,8,8,5,1,0,0,1
26,0.189,0,3,5,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000110011001111001100000000000000000000110000,2,6,3.222222,0.959330,3.000000,7,7,6,1,0,0,1
27,0.194,1,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000011110000000011111100000000000000000000001100,2,5,2.898990,0.745288,3.000000,8,8,5,1,0,0,1
28,0.199,2,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000110011111100000011001100000000000000000000001100,2,8,3.232323,1.090161,3.000000,7,7,8,0,0,0,0
29,0.205,4,4,5,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111111001111001100000000000000000000001100,2,5,3.000000,0.910100,3.000000,8,8,5,1,0,0,1
30,0.210,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000000000011001100000000000000000000001100,2,5,3.141414,0.876288,3.000000,8,8,5,1,0,0,1
30,0.215,3,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111111100000011001100000000000000000000001100,2,6,3.373737,0.927535,3.000000,7,7,6,1,0,0,1
31,0.220,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000011001100000000000000000000001100,2,6,3.090909,0.933018,3.000000,7,7,6,1,0,0,1
31,0.225,3,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111100000011000011001100000000000000000000001100,2,6,3.101010,0.979538,3.000000,7,7,6,1,0,0,1
31,0.230,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111001111000011001100000000000000000000001111,2,6,3.141414,0.899047,3.000000,7,7,6,1,0,0,1
31,0.235,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111000011000011001100000000000000000000001111,2,6,3.171717,0.910549,3.000000,7,7,6,1,0,0,1
31,0.240,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111000011001111001100000000000000000000111100,2,5,3.202020,0.887395,3.000000,8,8,5,1,0,0,1
32,0.245,2,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111100001100000011001100000000000000000000111100,2,7,3.515152,1.157877,3.000000,7,7,7,1,0,0,1
33,0.250,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000000011111100000000000000000000111111,2,6,3.383838,1.002089,3.000000,7,7,6,1,0,0,1
33,0.255,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100000011001100000000000000000000111100,2,6,3.353535,0.987939,3.000000,7,7,6,1,0,0,1
33,0.260,3,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111100110000000011001100000000000000000000111100,2,6,3.272727,0.908080,3.000000,7,7,6,1,0,0,1
33,0.265,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000000011001100000000000000000000111100,2,5,3.262626,0.847883,3.000000,8,8,5,1,0,0,1
34,0.270,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000000011001100000000000000000000111100,2,6,3.393939,0.930061,3.000000,7,7,6,1,0,0,1
35,0.276,3,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111100001100001111111100000000000000000000111100,2,7,3.242424,1.025837,3.000000,7,7,7,0,0,0,0
35,0.281,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111001100000011001100000000000000000000111100,2,6,3.313131,0.949710,3.000000,7,7,6,1,0,0,1
35,0.286,3,4,5,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111100001111110011111100000000000000000000111100,2,6,3.303030,1.086692,3.000000,7,7,6,1,0,0,1
35,0.291,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111001100000011111100000000000000000000111100,2,6,3.212121,0.901992,3.000000,7,7,6,1,0,0,1
35,0.296,3,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111100001100000011001100000000000000000000111100,2,7,3.515152,1.067080,3.000000,7,7,7,0,0,0,0
35,0.301,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111001100110011001100000000000000000000111100,2,6,3.434343,1.065166,3.000000,7,7,6,1,0,0,1
35,0.306,3,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111100111100110011001100000000000000000000111100,2,6,3.505051,1.067175,4.000000,8,8,6,1,0,0,1
36,0.311,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000000000011001100000000000000000000111100,2,7,3.525253,1.140117,3.000000,7,7,7,1,0,0,1
37,0.316,3,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111100111100000011001100000000000000000000111100,2,6,3.393939,0.972534,3.000000,7,7,6,1,0,0,1
37,0.321,3,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111100110000000011001100000000000000000000001100,2,5,3.252525,0.880122,3.000000,8,8,5,1,0,0,1
38,0.326,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000000000011001100000000000000000000001100,2,6,3.515152,0.978183,3.000000,7,7,6,1,0,0,1
39,0.331,2,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111100000011001111001100000000000000000000001100,2,6,3.525253,0.998417,3.000000,7,7,6,1,0,0,1
39,0.336,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000011001100000000000000000000001100,2,6,3.565657,0.996576,3.000000,8,8,6,1,0,0,1
40,0.341,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000000000011001100000000000000000000001100,2,7,3.424242,0.995859,3.000000,7,7,7,1,0,0,1
