"(PDH-CSV 4.0) (Pacific Daylight Time)(420)","\\WIN-N2S56U6S0IO\Processor(_total)\% Idle Time","\\WIN-N2S56U6S0IO\memory\available bytes","\\WIN-N2S56U6S0IO\memory\committed bytes","\\WIN-N2S56U6S0IO\memory\% committed bytes in use","\\WIN-N2S56U6S0IO\memory\page faults/sec","\\WIN-N2S56U6S0IO\memory\free & zero page list bytes"
"05/24/2020 17:36:34.158"," ","7604862976","899866624","8.4871223448978554416"," ","7273164800"
"05/24/2020 17:36:35.159","99.967420541877686446","7604854784","899866624","8.4871223448978554416","16.979337843777909001","7273164800"
"05/24/2020 17:36:36.166","99.953874002726436743","7604850688","899809280","8.4865815025955857465","1.9866268228791070793","7273164800"
"05/24/2020 17:36:37.177","99.955897472104410895","7604830208","899723264","8.4857702507837142747","0.9888965704176930771","7273144320"
"05/24/2020 17:36:38.179","99.965250942896346942","7604830208","899723264","8.4857702507837142747","0.99827787084500529957","7273144320"
"05/24/2020 17:36:39.192","99.964299568700468512","7604764672","899637248","8.4849589756887784375","0","7273078784"
"05/24/2020 17:36:40.198","99.974569656780801097","7604699136","899637248","8.4849589756887784375","0","7273013248"
"05/24/2020 17:36:41.210","99.892799742371664706","7604637696","899579904","8.4844181333865087424","143.24235895863398582","7272882176"
"05/24/2020 17:36:42.222","99.955111298185812529","7604637696","899579904","8.4844181333865087424","0","7272882176"
"05/24/2020 17:36:43.227","94.676230668207537633","7553282048","1010450432","9.5300972483889427878","30711.108766768546047","7222050816"
"05/24/2020 17:36:44.230","93.322774261409904284","7514169344","1045315584","9.8589291120550903713","16539.708059000662615","7170596864"
"05/24/2020 17:36:45.261","4.3987410951580248053","7511822336","1046904832","9.8739181668204079045","466.50860219601662493","7166619648"
"05/24/2020 17:36:46.419","0","7511789568","1043636224","9.8430901788741103076","58.518428701017384697","7166558208"
"05/24/2020 17:36:47.670","0","7511654400","1043607552","9.8428197460814423891","35.130977465953094452","7166492672"
"05/24/2020 17:36:48.964","0","7511666688","1043161088","9.8386089107577241464","3.0720161219406079134","7166492672"
"05/24/2020 17:36:50.171","0","7511613440","1042804736","9.8352479771327345759","91.526770656752432842","7166427136"
"05/24/2020 17:36:51.354","0","7511613440","1041874944","9.8264785972019854654","92.918147148526230694","7166427136"
"05/24/2020 17:36:52.517","0","7511609344","1041268736","9.820761138065895679","8.5978364576294747934","7166427136"
"05/24/2020 17:36:53.814","0","7511547904","1040171008","9.8104078811151929074","45.615676329716293935","7166427136"
"05/24/2020 17:36:55.168","0","7511576576","1040056320","9.8093261965106535172","0","7166427136"
"05/24/2020 17:36:56.378","0","7511572480","1039581184","9.8048449283942691324","14.896881304794661105","7166427136"
"05/24/2020 17:36:57.791","0","7511572480","1038872576","9.7981616644650149084","31.809120395824209027","7166427136"
"05/24/2020 17:36:58.992","0","7511568384","1037217792","9.7825545141898455626","43.941597802721133803","7166427136"
"05/24/2020 17:37:00.179","0","7511568384","1037139968","9.7818205155855562083","6.7060636730686660201","7166427136"
"05/24/2020 17:37:01.589","0","7511568384","1036509184","9.7758712502605913386","42.690099546908626849","7166427136"
"05/24/2020 17:37:02.818","0","7511556096","1036021760","9.7712741023328337775","4.8470736156575995324","7166435328"
"05/24/2020 17:37:04.178","0","7512616960","1034489856","9.7568258898697859394","63.158515762990901976","7166443520"
"05/24/2020 17:37:05.382","0","7512883200","1033916416","9.7514174668470907648","18.224784995170018931","7166468096"
"05/24/2020 17:37:06.594","0","7512817664","1033805824","9.7503744321294067987","68.213457496071356445","7166472192"
"05/24/2020 17:37:07.828","0","7512350720","1042087936","9.828487436712833869","1775.4790396236960532","7166152704"
"05/24/2020 17:37:09.287","0","7512559616","1039671296","9.8056948300929960283","922.71611126131460878","7165534208"
"05/24/2020 17:37:10.537","0","7514714112","1031090176","9.7247616876207203518","898.07873252428748856","7164878848"
"05/24/2020 17:37:11.877","0","7514722304","1031061504","9.7244912781111185751","45.114372830139650716","7164907520"
"05/24/2020 17:37:13.257","0","7515254784","1030463488","9.7188510721826126826","25.999415735351949053","7165030400"
"05/24/2020 17:37:14.469","0","7515553792","1027764224","9.6933928806552174251","28.165296825365135902","7165059072"
"05/24/2020 17:37:15.718","0","7518621696","1020239872","9.6224266825296034256","6.3797476187791382074","7168196608"
"05/24/2020 17:37:17.053","0","7519629312","1017991168","9.6012179529297210223","76.630931609748415667","7169142784"
"05/24/2020 17:37:18.228","0","7519883264","1017868288","9.6000590151175995146","30.71648243034269754","7169417216"
"05/24/2020 17:37:19.405","0","7525998592","1010008064","9.5259250396690156037","14.337911512820031845","7175503872"
"05/24/2020 17:37:20.624","0","7526080512","1012883456","9.5530444079900735943","86.6978426604248682","7175667712"
"05/24/2020 17:37:21.853","0","7526191104","1012776960","9.5520399765931163216","8.100748031173946373","7175749632"
"05/24/2020 17:37:23.057","0","7526207488","1012707328","9.5513832544794734503","4.8874047831727303048","7175766016"
"05/24/2020 17:37:24.260","0","7529586688","1009192960","9.5182373676258684725","12.70681075738267829","7179145216"
"05/24/2020 17:37:25.513","0","7529672704","1009192960","9.5182373676258684725","245.70957754253001326","7179231232"
"05/24/2020 17:37:26.741","0","7529672704","1009192960","9.5182373676258684725","4.0694055013641872165","7179231232"
"05/24/2020 17:37:27.962","0","7529721856","1009192960","9.5182373676258684725","0","7179280384"
"05/24/2020 17:37:29.165","0","7529836544","1009164288","9.5179669581162666958","15.687405168603689276","7179415552"
"05/24/2020 17:37:30.438","0","7529947136","1009078272","9.5171556830213308587","4.6581576101601873674","7179419648"
"05/24/2020 17:37:31.681","0","7530000384","1009070080","9.5170784298137487411","4.8851318244680941305","7179476992"
"05/24/2020 17:37:32.899","0","7530057728","1009041408","9.5168079970210808227","6.5875100480114205936","7179530240"
"05/24/2020 17:37:34.181","0","7530115072","1008926720","9.5157263124165414325","10.072001640651588872","7179587584"
"05/24/2020 17:37:35.447","0","7530201088","1009876992","9.5246888486493119785","164.70064226089584736","7179673600"
"05/24/2020 17:37:36.761","0","7530201088","1009848320","9.5244184158566440601","0.7514888685335603391","7179673600"
"05/24/2020 17:37:38.024","0","7530254336","1009819648","9.5241480063470422834","10.446976291471282039","7179759616"
"05/24/2020 17:37:39.327","0","7530893312","1009733632","9.5233367312521064463","482.32160944203212694","7179845632"
"05/24/2020 17:37:40.565","0","7530909696","1009733632","9.5233367312521064463","33.18618900894464474","7179874304"
"05/24/2020 17:37:41.727","0","7530934272","1009733632","9.5233367312521064463","1.6957197151665681645","7179878400"
"05/24/2020 17:37:42.936","0","7530979328","1009664000","9.5226800091384635749","5.8455212451294285003","7179902976"
"05/24/2020 17:37:44.196","0.0084443720641124656728","7531044864","1009664000","9.5226800091384635749","3.989326158929168642","7175057408"
"05/24/2020 17:37:45.316","84.231563727516430617","7533285376","994844672","9.3829110053793787216","11400.687645514000906","7169794048"
"05/24/2020 17:37:46.324","96.926078870333014947","7598657536","875319296","8.2556033991872332933","1121.8832866097072838","7232688128"
"05/24/2020 17:37:47.334","89.57940592192913698","7587237888","899948544","8.4878949701059358546","18477.651041481556604","7213531136"
"05/24/2020 17:37:48.349","76.788344453803816236","7563010048","916594688","8.6448936510469973626","32869.408153724303702","7178915840"
"05/24/2020 17:37:49.366","92.854251865883114192","7559196672","924856320","8.7228134993284029974","12652.826055050165451","7171530752"
"05/24/2020 17:37:50.366","98.872955665916236967","7559155712","925761536","8.7313510963533431664","139.99504417543619184","7171465216"
