iteration,time_sec,hvm_busy_cores,hvm_cores,primary_busy_cores,primary_cores,primary_cores_mask,system_busy_mask_raw,f_min,f_max,f_avg,f_stddev,f_med,pred_peak,upper_bound,cpu_max,overpredicted,safeguard,explore,update_model
0,0.005,1,1,5,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111100110011000011001100000000000000000000111100,2,7,3.515152,1.166568,3.000000,0,10,7,1,0,0,0
0,0.010,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111100000000000011001100000000000000000000111100,2,6,3.272727,0.940859,3.000000,7,7,6,1,0,0,1
1,0.015,1,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000110000000000000011001100000000000000000000111100,2,5,2.919192,0.799959,3.000000,8,8,5,1,0,0,1
2,0.021,1,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000110000000011001100000000000000000000111100,2,6,3.030303,0.846318,3.000000,7,7,6,1,0,0,1
3,0.026,0,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000000011000011001100000000000000000000111100,2,6,2.969697,0.869861,3.000000,7,7,6,1,0,0,1
3,0.031,3,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001111110000000011001100000000000000000000111100,2,5,3.000000,0.778499,3.000000,8,8,5,1,0,0,1
4,0.036,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100001100000011001100000000000000000000111100,2,5,2.939394,0.814244,3.000000,8,8,5,1,0,0,1
4,0.041,2,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001111000000000011001100000000000000000000111100,2,6,3.202020,1.024742,3.000000,7,7,6,1,0,0,1
5,0.046,2,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001111000000001111001100000000000000000000001111,2,6,2.818182,0.845232,3.000000,7,7,6,1,0,0,1
5,0.051,1,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001100001100000011001100000000000000000000001100,2,5,2.888889,0.851486,3.000000,8,8,5,1,0,0,1
6,0.056,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100000000001111001100000000000000000000001100,2,5,3.030303,0.881396,3.000000,8,8,5,1,0,0,1
6,0.061,0,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000000000000011001100000000000000000000001100,2,6,3.000000,0.840875,3.000000,7,7,6,1,0,0,1
7,0.067,0,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000000001100110011001100000000000000000000001100,2,5,3.010101,0.822597,3.000000,8,8,5,1,0,0,1
8,0.072,0,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000000000000011111100000000000000000000001100,2,5,3.070707,0.831847,3.000000,8,8,5,1,0,0,1
8,0.077,1,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000001100110000000011001100000000000000000000001100,2,6,3.060606,0.908080,3.000000,7,7,6,1,0,0,1
9,0.082,1,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000011110000001111001100000000000000000000001100,2,5,2.858586,0.765547,3.000000,8,8,5,1,0,0,1
10,0.087,0,3,5,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000000011111111001100000000000000000000001100,2,5,3.141414,0.778630,3.000000,8,8,5,1,0,0,1
10,0.092,0,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000000011000011001100000000000000000000001100,2,5,3.050505,0.808712,3.000000,8,8,5,1,0,0,1
10,0.097,0,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000000000000011001100000000000000000000001100,2,5,3.070707,0.781769,3.000000,8,8,5,1,0,0,1
10,0.102,0,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000000000110011001100000000000000000000001100,2,6,3.050505,0.936075,3.000000,7,7,6,1,0,0,1
11,0.107,1,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000000011001100000011001100000000000000000000111100,2,5,2.898990,0.771918,3.000000,8,8,5,1,0,0,1
12,0.112,0,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000110000001111001100000000000000000000001100,2,5,3.131313,0.872086,3.000000,8,8,5,1,0,0,1
12,0.117,0,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000000000000000000011001100000000000000000000001100,2,6,3.080808,0.836983,3.000000,7,7,6,1,0,0,1
