iteration,time_sec,hvm_busy_cores,hvm_cores,primary_busy_cores,primary_cores,primary_cores_mask,system_busy_mask_raw,f_min,f_max,f_avg,f_stddev,f_med,pred_peak,upper_bound,cpu_max,overpredicted,safeguard,explore,update_model
16,0.174,3,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111111100000011001100000000000000000000110000,2,6,3.181818,0.957307,3.000000,7,7,6,1,0,0,1
17,0.179,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111000011000011001100000000000000000000110000,2,5,3.060606,0.919136,3.000000,8,8,5,1,0,0,1
18,0.184,3,3,5,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000001111111100000000000000000000110000,2,6,3.111111,0.908866,3.000000,7,7,6,1,0,0,1
19,0.189,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111001100001111001100000000000000000000000000,2,6,3.323232,0.940968,3.000000,7,7,6,1,0,0,1
19,0.194,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111001100000011001100000000000000000000111100,2,7,3.131313,0.906168,3.000000,7,7,7,0,0,0,0
19,0.199,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111001100000011001100000000000000000000110011,2,5,3.161616,0.837349,3.000000,8,8,5,1,0,0,1
20,0.205,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000000000011001100000000000000000000111100,2,6,3.373737,0.894267,3.000000,7,7,6,1,0,0,1
21,0.210,4,4,5,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011111111001100000000000000000000111111,2,6,3.353535,0.868217,3.000000,7,7,6,1,0,0,1
21,0.215,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111111000011001100000000000000000000111100,2,7,3.505051,0.936075,3.000000,7,7,7,0,0,0,0
21,0.220,4,4,5,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111111110011001100000000000000000000111100,2,7,3.505051,0.946805,3.000000,7,7,7,0,0,0,0
21,0.225,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000111111001100000000000000000000110011,2,7,3.515152,0.967801,3.000000,7,7,7,0,0,0,0
21,0.230,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000110011001100000000000000000000111100,2,7,3.575758,0.985664,3.000000,7,7,7,0,0,0,0
21,0.235,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100110011001100000000000000000000110000,2,6,3.585859,1.044564,3.000000,7,7,6,1,0,0,1
21,0.240,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100000011001100000000000000000000111100,2,6,3.313131,0.894952,3.000000,7,7,6,1,0,0,1
21,0.245,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100001111001100000000000000000000111100,2,6,3.353535,0.967274,3.000000,7,7,6,1,0,0,1
21,0.250,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100110011001100000000000000000000111100,2,5,3.333333,0.921132,3.000000,8,8,5,1,0,0,1
22,0.255,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000000000011001100000000000000000000110000,2,6,3.525253,1.028321,4.000000,8,8,6,1,0,0,1
22,0.260,3,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111001111000011001100000000000000000000110000,2,6,3.444444,0.976721,3.000000,7,7,6,1,0,0,1
23,0.265,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000110011001100000000000000000000110000,2,6,3.404040,0.920246,3.000000,7,7,6,1,0,0,1
23,0.270,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000000011001100000000000000000000110000,2,7,3.353535,0.987939,3.000000,7,7,7,0,0,0,0
23,0.276,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000011001100000000000000000000111100,2,6,3.242424,0.922129,3.000000,7,7,6,1,0,0,1
23,0.281,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100000011001100000000000000000000110000,2,5,3.222222,0.823341,3.000000,8,8,5,1,0,0,1
24,0.286,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000000000011001100000000000000000000110000,2,7,3.454545,1.027626,3.000000,7,7,7,1,0,0,1
25,0.291,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000110011111100000000000000000000001100,2,6,3.292929,1.017548,3.000000,7,7,6,1,0,0,1
25,0.296,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000000011111100000000000000000000000000,2,6,3.383838,1.089037,3.000000,7,7,6,1,0,0,1
25,0.301,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000000011001100000000000000000000000000,2,6,3.343434,1.093245,3.000000,7,7,6,1,0,0,1
25,0.306,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100110011001100000000000000000000000011,2,7,3.565657,1.190549,3.000000,7,7,7,0,0,0,0
25,0.311,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000001111001100000000000000000000110000,2,7,3.535354,0.924560,3.000000,7,7,7,0,0,0,0
25,0.316,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000011001100000000000000000000111100,2,6,3.343434,1.083966,3.000000,7,7,6,1,0,0,1
25,0.321,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100110011001100000000000000000000111100,2,7,3.353535,0.902445,3.000000,7,7,7,0,0,0,0
25,0.326,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000000011001100000000000000000000111100,2,6,3.444444,1.084531,3.000000,7,7,6,1,0,0,1
25,0.331,4,4,5,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111111110011001100000000000000000000110000,2,5,3.343434,1.016645,3.000000,8,8,5,1,0,0,1
26,0.336,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000000000011111100000000000000000000110000,2,5,3.272727,0.896888,3.000000,8,8,5,1,0,0,1
26,0.341,3,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111001100000011111100000000000000000000110000,2,7,3.323232,0.919247,3.000000,7,7,7,1,0,0,1
27,0.346,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000111111001100000000000000000000110000,2,5,3.090909,0.888659,3.000000,8,8,5,1,0,0,1
28,0.352,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000000000011001100000000000000000000110000,2,8,3.363636,1.067940,3.000000,7,7,8,0,0,0,0
29,0.357,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100000011111100000000000000000000110000,2,7,3.363636,0.926103,3.000000,7,7,7,0,0,0,0
29,0.362,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000110011001100000000000000000000110000,2,5,3.171717,0.932472,3.000000,8,8,5,1,0,0,1
30,0.367,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111001100000011001100000000000000000000110000,2,6,3.262626,1.010909,3.000000,7,7,6,1,0,0,1
31,0.372,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100000011001100000000000000000000110000,2,5,3.030303,0.834297,3.000000,8,8,5,1,0,0,1
32,0.377,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000000000011001100000000000000000000110000,2,7,3.373737,1.115419,3.000000,7,7,7,1,0,0,1
33,0.382,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100000011001100000000000000000000110000,2,6,3.363636,1.019552,3.000000,7,7,6,1,0,0,1
33,0.387,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000000011001100000000000000000000110000,2,6,3.363636,1.105126,3.000000,7,7,6,1,0,0,1
33,0.392,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000000011111100000000000000000000111100,2,5,3.494949,0.914239,4.000000,8,8,5,1,0,0,1
34,0.397,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000000011001100000000000000000000001100,2,6,3.484848,0.925111,4.000000,8,8,6,1,0,0,1
34,0.402,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000000110011001100000000000000000000001100,2,6,3.454545,0.924118,3.000000,7,7,6,1,0,0,1
35,0.408,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000110011001100000000000000000000000000,2,5,3.242424,0.792527,3.000000,8,8,5,1,0,0,1
36,0.413,3,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000000111111001100000000000000000000000000,2,7,3.494949,1.028618,3.000000,7,7,7,1,0,0,1
37,0.418,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100110011001100000000000000000000001100,2,6,3.252525,0.924891,3.000000,7,7,6,1,0,0,1
37,0.423,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000000011001100000000000000000000000000,2,6,3.232323,0.962197,3.000000,7,7,6,1,0,0,1
37,0.428,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100000011001100000000000000000000000000,2,6,3.363636,0.989383,3.000000,7,7,6,1,0,0,1
37,0.433,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000001111001100000000000000000000001100,2,6,3.151515,0.935966,3.000000,7,7,6,1,0,0,1
37,0.438,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000000011111100000000000000000000000000,2,6,3.545455,1.037409,3.000000,7,7,6,1,0,0,1
37,0.443,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100000011001100000000000000000000000000,2,6,3.616162,1.022051,4.000000,8,8,6,1,0,0,1
38,0.448,3,3,5,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111111100110011001100000000000000000000000000,2,6,3.444444,1.017247,3.000000,7,7,6,1,0,0,1
39,0.453,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111000011110011001100000000000000000000000000,2,6,3.343434,0.955173,3.000000,7,7,6,1,0,0,1
39,0.458,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111001111110011001100000000000000000000000000,2,7,3.383838,1.134465,3.000000,7,7,7,0,0,0,0
39,0.463,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111000011001111001100000000000000000000000000,2,6,3.535354,0.935421,4.000000,8,8,6,1,0,0,1
40,0.468,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000000000011001100000000000000000000001100,2,7,3.606061,1.061904,4.000000,7,7,7,1,0,0,1
41,0.474,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000000011001100000000000000000000001100,2,7,3.383838,1.012119,3.000000,7,7,7,0,0,0,0
41,0.479,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000110011001100000000000000000000000000,2,5,3.040404,0.863622,3.000000,8,8,5,1,0,0,1
42,0.484,3,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000001111001100000000000000000000000000,2,6,3.484848,0.868804,4.000000,8,8,6,1,0,0,1
42,0.489,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000000001111001100000000000000000000000000,2,6,3.363636,1.009596,3.000000,7,7,6,1,0,0,1
43,0.494,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000110011001100000000000000000000000000,2,6,3.303030,0.869861,3.000000,7,7,6,1,0,0,1
43,0.499,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000001111111100000000000000000000000000,2,7,3.646465,0.998111,4.000000,7,7,7,0,0,0,0
43,0.504,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100110011001100000000000000000000000000,2,5,3.323232,0.897002,3.000000,8,8,5,1,0,0,1
44,0.509,3,3,5,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111111100000011111100000000000000000000001100,2,6,3.505051,0.946805,3.000000,8,8,6,1,0,0,1
44,0.514,3,3,6,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111111111110011001100000000000000000000001100,2,6,3.595960,1.100222,4.000000,8,8,6,1,0,0,1
44,0.519,3,3,6,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111111111110011001100000000000000000000000000,2,8,3.606061,1.212879,3.000000,7,7,8,0,0,0,0
45,0.524,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000001111001100000000000000000000000000,2,6,3.585859,1.082553,4.000000,8,8,6,1,0,0,1
46,0.530,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000011000011001100000000000000000000000000,2,8,3.606061,1.221178,3.000000,7,7,8,0,0,0,0
47,0.535,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000000011001100000000000000000000000000,2,6,3.151515,0.967801,3.000000,7,7,6,1,0,0,1
47,0.540,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000000011111100000000000000000000000000,2,5,2.959596,0.851845,3.000000,8,8,5,1,0,0,1
48,0.545,3,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000000011111100000000000000000000000000,2,5,3.232323,0.951642,3.000000,8,8,5,1,0,0,1
48,0.550,3,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111111100000011001100000000000000000000000000,2,7,3.454545,1.112579,3.000000,7,7,7,1,0,0,1
49,0.555,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111000011000011001100000000000000000000000000,2,6,3.313131,1.031293,3.000000,7,7,6,1,0,0,1
49,0.560,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111000011000011001100000000000000000000000000,2,6,3.323232,0.962197,3.000000,7,7,6,1,0,0,1
49,0.565,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111000011110011001100000000000000000000000000,2,6,3.353535,0.946158,3.000000,7,7,6,1,0,0,1
49,0.570,3,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111100000011000011001100000000000000000000000000,2,6,3.292929,0.966641,3.000000,7,7,6,1,0,0,1
49,0.575,4,4,5,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111111110011001100000000000000000000000000,2,5,3.323232,0.885669,3.000000,8,8,5,1,0,0,1
50,0.580,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000011000011001100000000000000000000000000,2,7,3.666667,1.128152,4.000000,7,7,7,1,0,0,1
51,0.585,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000000011001100000000000000000000110000,2,6,3.232323,0.908193,3.000000,7,7,6,1,0,0,1
51,0.590,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000000011111100000000000000000000110000,2,7,3.393939,1.108445,3.000000,7,7,7,0,0,0,0
51,0.595,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100000011001100000000000000000000110000,2,6,3.282828,0.943242,3.000000,7,7,6,1,0,0,1
51,0.600,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100000011001100000000000000000000111111,2,6,3.303030,1.019552,3.000000,7,7,6,1,0,0,1
51,0.605,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000110011001100000000000000000000000000,2,7,3.383838,1.079722,3.000000,7,7,7,0,0,0,0
51,0.610,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000110011001100000000000000000000000000,2,6,3.252525,0.935748,3.000000,7,7,6,1,0,0,1
51,0.615,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100001111001100000000000000000000000000,2,7,3.454545,1.191491,3.000000,7,7,7,0,0,0,0
51,0.621,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000011001100000000000000000000110000,2,6,3.494949,0.857218,4.000000,8,8,6,1,0,0,1
52,0.626,3,3,5,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000110011111100000000000000000000000011,2,6,3.494949,1.028618,4.000000,8,8,6,1,0,0,1
52,0.631,3,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110011000011001100000000000000000000001100,2,6,3.525253,0.935748,4.000000,8,8,6,1,0,0,1
52,0.636,2,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111100110000000011001100000000000000000000000000,2,6,3.535354,1.057089,3.000000,7,7,6,1,0,0,1
53,0.641,3,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111000000110011001100000000000000000000000000,2,6,3.393939,1.003209,3.000000,7,7,6,1,0,0,1
53,0.646,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111001100110011001100000000000000000000000000,2,5,3.292929,0.819615,3.000000,8,8,5,1,0,0,1
54,0.651,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111001100000011001100000000000000000000000000,2,6,3.575758,0.995859,3.000000,8,8,6,1,0,0,1
54,0.656,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000000000011111100000000000000000000000000,2,6,3.575758,0.995859,4.000000,8,8,6,1,0,0,1
54,0.661,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111000000000011111100000000000000000000000000,2,7,3.505051,1.057668,3.000000,7,7,7,1,0,0,1
55,0.666,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111111000011001100000000000000000000000000,2,6,3.353535,0.977661,3.000000,7,7,6,1,0,0,1
55,0.671,4,4,5,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011111111001100000000000000000000000000,2,6,3.404040,1.091003,3.000000,7,7,6,1,0,0,1
55,0.676,3,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111100110000000011001100000000000000000000000000,2,6,3.313131,0.906168,3.000000,7,7,6,1,0,0,1
55,0.681,4,4,5,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011110011111100000000000000000000000000,2,6,3.383838,1.002089,3.000000,7,7,6,1,0,0,1
55,0.686,3,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111100111100000011111100000000000000000000000000,2,6,3.313131,0.928194,3.000000,7,7,6,1,0,0,1
55,0.691,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000000011001100000000000000000000001100,2,7,3.464646,1.148676,3.000000,7,7,7,0,0,0,0
55,0.696,3,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111100111100001111001100000000000000000000000000,2,6,3.606061,0.962091,4.000000,8,8,6,1,0,0,1
56,0.702,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111001100000011001100000000000000000000000000,2,6,3.484848,1.057571,3.000000,7,7,6,1,0,0,1
57,0.707,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000000011001100000000000000000000000000,2,7,3.232323,0.908193,3.000000,7,7,7,0,0,0,0
57,0.712,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000011001100000000000000000000001100,2,7,3.282828,1.073467,3.000000,7,7,7,0,0,0,0
57,0.717,4,4,5,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111111001111001100000000000000000000001100,2,6,3.363636,1.039177,3.000000,7,7,6,1,0,0,1
57,0.722,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100110011001100000000000000000000001100,2,6,3.505051,0.967907,3.000000,7,7,6,1,0,0,1
57,0.727,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000001111001100000000000000000000000000,2,6,3.525253,0.935748,3.000000,8,8,6,1,0,0,1
58,0.732,3,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000000011111100000000000000000000000000,2,7,3.646465,1.166131,3.000000,7,7,7,1,0,0,1
59,0.737,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100110011001100000000000000000000000000,2,7,3.272727,1.196106,3.000000,7,7,7,0,0,0,0
59,0.742,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111001111001111001100000000000000000000000000,2,6,3.414141,1.034848,3.000000,7,7,6,1,0,0,1
59,0.747,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111001100000011001100000000000000000000000000,2,5,3.292929,0.843903,3.000000,8,8,5,1,0,0,1
