iteration,time_sec,hvm_busy_cores,hvm_cores,primary_busy_cores,primary_cores,primary_cores_mask,system_busy_mask_raw,f_min,f_max,f_avg,f_stddev,f_med,pred_peak,upper_bound,cpu_max,overpredicted,safeguard,explore,update_model
22,0.175,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100000011111100000000000000000000111111,2,6,3.202020,0.942593,3.000000,7,7,6,1,0,0,1
22,0.180,1,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000001111000000000011001100000000000000000000111111,2,6,3.141414,0.840996,3.000000,7,7,6,1,0,0,1
22,0.185,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100110011001100000000000000000000111111,2,5,3.030303,0.822101,3.000000,8,8,5,1,0,0,1
23,0.190,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000000011001100000000000000000000111100,2,5,3.060606,0.814244,3.000000,8,8,5,1,0,0,1
23,0.195,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000110000001100000000000000000000111100,2,5,2.969697,0.846318,3.000000,8,8,5,1,0,0,1
23,0.200,3,3,2,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000000000001100000000000000000000111100,2,6,3.080808,0.848966,3.000000,7,7,6,1,0,0,1
24,0.205,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100000000001100000000000000000000111100,2,5,3.101010,0.834786,3.000000,8,8,5,1,0,0,1
25,0.211,3,3,5,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110011110011001100000000000000000000110011,2,7,3.525253,0.977974,3.000000,7,7,7,1,0,0,1
26,0.216,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100110011001100000000000000000000110011,2,6,3.393939,0.962091,3.000000,7,7,6,1,0,1,1
27,0.221,1,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111100000000111100001100000000000000000000110011,2,7,3.454545,1.027626,3.000000,7,7,7,1,0,0,1
28,0.226,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100001100001100000000000000000000111100,2,5,3.040404,0.839904,3.000000,8,8,5,1,0,0,1
29,0.231,3,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000110011001100000000000000000000111100,2,6,3.454545,0.924118,4.000000,8,8,6,1,0,0,1
29,0.236,3,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110011110000001100000000000000000000111100,2,6,3.494949,0.936075,3.000000,8,8,6,1,0,0,1
29,0.241,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000000000111100000000000000000000111100,2,7,3.525253,1.085659,4.000000,7,7,7,1,0,0,1
30,0.246,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100110000111100000000000000000000111100,2,5,3.161616,0.837349,3.000000,8,8,5,1,0,0,1
31,0.251,3,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000110000111100000000000000000000111100,2,6,3.494949,0.988558,3.000000,7,7,6,1,0,1,1
32,0.257,1,1,5,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111111110000110000001100000000000000000000110000,2,6,3.444444,1.036917,3.000000,7,7,6,1,0,0,1
33,0.262,3,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111100000011001111001100000000000000000000110000,2,7,3.070707,0.977035,3.000000,7,7,7,0,0,1,0
34,0.267,1,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111100111100000000001100000000000000000000110000,2,6,3.484848,0.998622,3.000000,7,7,6,1,0,0,1
35,0.272,3,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011000000001100000000000000000000110000,2,5,2.828283,0.804538,3.000000,8,8,5,1,0,1,1
36,0.277,1,1,5,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111100110000110011001100000000000000000000110000,2,6,3.474747,0.977974,3.000000,7,7,6,1,0,0,1
37,0.283,3,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111000011000000001100000000000000000000110000,2,5,2.929293,0.867512,3.000000,8,8,5,1,0,1,1
38,0.288,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111100000000000011001100000000000000000000110000,2,7,3.595960,1.043684,4.000000,7,7,7,1,0,1,1
38,0.293,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111100000000001100001100000000000000000000110000,2,6,3.373737,0.959649,3.000000,7,7,6,1,0,1,1
38,0.298,1,1,3,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111100000000000000111100000000000000000000110000,2,6,3.414141,0.864684,3.000000,8,8,6,1,0,0,1
39,0.303,3,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110000111100001100000000000000000000110011,2,6,3.080808,0.799959,3.000000,7,7,6,1,0,0,1
40,0.308,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111100000000111100000000000000000000110011,2,5,2.898990,0.797660,3.000000,8,8,5,1,0,0,1
41,0.314,3,3,3,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111110011000000001100000000000000000000111100,2,5,3.151515,0.868804,3.000000,8,8,5,1,0,0,1
41,0.319,3,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111111100001100001100000000000000000000111111,2,8,3.353535,1.018150,3.000000,7,7,8,0,0,0,0
42,0.324,4,4,4,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111111111001100001100000000000000000000111100,2,6,3.242424,1.025837,3.000000,7,7,6,1,0,1,1
43,0.329,1,1,4,10,0000000000000000001111111111111111111100000000000000000000000000,0000000000000000111100001100001100001100000000000000000000111100,2,6,3.505051,1.048074,4.000000,8,8,6,1,0,0,1
44,0.334,3,3,4,8,0000000000000000000000111111111111111100000000000000000000000000,0000000000000000111111111111000000001100000000000000000000111100,2,6,3.333333,1.063632,3.000000,7,7,6,1,0,0,1
45,0.339,4,4,5,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011111111001100000000000000000000111100,2,7,3.535354,1.148676,3.000000,7,7,7,0,0,0,0
45,0.344,4,4,3,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110011110000001100000000000000000000111100,2,7,3.464646,1.076030,3.000000,7,7,7,0,0,0,0
45,0.349,4,4,2,7,0000000000000000000000001111111111111100000000000000000000000000,0000000000000000111111110000110000001100000000000000000000110000,2,7,3.454545,1.027626,3.000000,7,7,7,0,0,0,0
